	votes	unemployment_rate	med_hhinc	per_capita_inc	poverty_all_ages_pct	deep_pov_all	deep_pov_children	population	area_in_square_miles	voter_turnout_rate	democrat	county	state	education	religion	age_old	age_young	age_adult	ethnic_male	ethnic_female
1174	-0.33892189657319116	0.051	0.26663723247988813	-0.24875652538698426	0.138	0.061033959619999995	0.1131117267	-0.28672339583336554	-0.2636457022886593	0.493902439	0	Hancock County	KY	LT High School	CATHOLIC	0.20823746	0.310745513	0.375747814	WHITE MALE	WHITE FEMALE
1175	-0.33508196219228076	0.078	-1.6981655602668997	-1.1132138567530028	0.35100000000000003	0.11297153550000001	0.2132805629	-0.27921951026260405	-0.15233274777401246	0.439510097	1	Bullock County	AL	Some College	NON-CATHOLIC CHRISTIAN	0.21026551999999996	0.309928945	0.41492146599999996	BLACK MALE	BLACK FEMALE
1176	-0.2961085105468153	0.048	0.018743869781580307	-0.08606814503661613	0.12300000000000001	0.06392165122	0.07287538529	-0.251427341482006	-0.20620430058768166	0.465956998	0	Paulding County	OH	GTE Bachelor's	MAINLINE CHRISTIAN	0.23440134899999998	0.31297428499999996	0.363511804	WHITE MALE	WHITE FEMALE
1177	-0.3045130728069942	0.066	-0.7174167863114944	-0.21176595614783805	0.20600000000000002	0.08145246534	0.1532205595	-0.2620905896877113	-0.21716454622047868	0.488237823	0	Rabun County	GA	GTE Bachelor's	CATHOLIC	0.27602727099999996	0.248387692	0.33407038899999997	WHITE MALE	WHITE FEMALE
1178	-0.3395618856366762	0.092	-0.28566917961194166	-0.2249142627494303	0.17800000000000002	0.06932992684	0.132518797	-0.2863081105527359	-0.04667357734204502	0.479950017	0	Clearwater County	MN	GTE Bachelor's	OTHER MISC	0.23923662399999998	0.323185279	0.33988413	WHITE MALE	WHITE FEMALE
1179	-0.3384230815678278	0.034	-0.469771316975885	-0.27996183972142985	0.158	0.03546099291	0.027490039839999997	-0.2817878899981904	0.2762737031977396	0.422639308	0	Butte County	SD	GTE Bachelor's	MAINLINE CHRISTIAN	0.24623164499999997	0.319264805	0.339103376	WHITE MALE	WHITE FEMALE
1180	-0.3621403233322743	0.039	0.4049617288655439	0.7717273776512623	0.12	0.07435582822	0.1295180723	-0.3008239283618207	0.006114224712126774	0.431576459	0	Ellis County	OK	GTE Bachelor's	MAINLINE CHRISTIAN	0.246986528	0.300874497	0.335145357	WHITE MALE	WHITE FEMALE
1181	0.4033524778229861	0.045	-0.1461052164127944	0.15217917058423544	0.18100000000000002	0.06530201886	0.0822500281	0.3558475188848556	-0.06757038114324629	0.373026339	0	Smith County	TX	GTE Bachelor's	CATHOLIC	0.19961334199999997	0.34927961300000004	0.373255104	WHITE MALE	WHITE FEMALE
1182	-0.3273926818265852	0.079	-1.4139971354937395	-1.2645070380486576	0.251	0.06831051537999999	0.12679938740000002	-0.26904182638501956	-0.15063530682540202	0.399797131	0	Ripley County	MO	LT High School	MAINLINE CHRISTIAN	0.24011012899999998	0.30133314099999997	0.361034633	WHITE MALE	WHITE FEMALE
1183	-0.2773794188360024	0.069	-0.5259604791875014	-0.5134757649657082	0.20600000000000002	0.08134400689	0.1494464945	-0.22388114936762699	-0.1818133798799561	0.38024362	0	Marion County	TN	LT High School	MAINLINE CHRISTIAN	0.23501948399999997	0.283673254	0.375574825	WHITE MALE	WHITE FEMALE
1184	-0.33306787896307777	0.033	0.3234048125378006	0.2915512205611133	0.121	0.06589295991	0.13452914800000002	-0.2799670237677374	-0.16346273750167054	0.477416221	0	Franklin County	IA	GTE Bachelor's	CATHOLIC	0.26498300199999997	0.304225353	0.335016998	WHITE MALE	WHITE FEMALE
